student_id,academic_year,major,facility_rated,satisfaction_score,timestamp,comment
1001,4th Year,AIDS,Classroom,5,2025-04-07,Teaching environment is good
1002,2nd Year,ME,Classroom,4,2025-08-30,Projector and seating are fine
1003,3rd Year,BBA,Sports,3,2025-09-22,Sports facilities are average
1004,4th Year,CSE,Library,2,2025-07-08,Library is sometimes noisy
1005,3rd Year,BBA,Sports,3,2026-02-17,Okay sports experience
1006,3rd Year,CE,Lab,1,2025-12-04,Some systems do not work
1007,1st Year,CSE,Library,5,2025-06-06,Very satisfied with library environment
1008,4th Year,ME,Hostel,3,2025-09-08,Facilities are manageable
1009,1st Year,ME,Canteen,4,2026-01-30,Food quality is good
1010,4th Year,AIDS,Sports,1,2025-06-30,Facilities need improvement
1011,2nd Year,CE,Library,5,2025-04-20,Books are easily available
1012,2nd Year,ME,Sports,1,2025-12-25,Facilities need improvement
1013,2nd Year,CE,Sports,2,2025-10-14,Sports equipment is limited
1014,1st Year,AIDS,Hostel,2,2025-02-03,Water supply has issues
1015,1st Year,CE,Hostel,3,2026-02-21,Facilities are manageable
1016,2nd Year,BBA,Hostel,4,2025-04-01,Hostel maintenance is good
1017,1st Year,BBA,Library,1,2025-05-21,Library needs more books
1018,3rd Year,ME,Lab,3,2026-02-19,Average lab experience
1019,1st Year,BBA,Transport,2,2025-03-02,Need more buses
1020,3rd Year,ECE,Library,1,2026-02-11,Need improvement in library timing
1021,3rd Year,CSE,Hostel,2,2025-06-04,Rooms are crowded
1022,2nd Year,AIDS,Classroom,5,2026-03-17,Classroom atmosphere is positive
1023,2nd Year,BBA,Hostel,1,2025-10-20,Hostel cleanliness is average
1024,2nd Year,BBA,Canteen,1,2025-04-25,Canteen is crowded
1025,3rd Year,AIDS,Classroom,1,2026-03-30,Rooms need better ventilation
1026,1st Year,BBA,Classroom,5,2026-01-31,Classrooms are clean and comfortable
1027,2nd Year,ME,Canteen,1,2025-10-07,Canteen is crowded
1028,3rd Year,BBA,Lab,4,2025-04-06,Systems work properly
1029,2nd Year,CE,Sports,1,2025-05-02,Facilities need improvement
1030,1st Year,AIDS,Classroom,3,2025-02-01,Facilities are manageable
1031,1st Year,CSE,Library,3,2026-01-05,Library is okay overall
1032,3rd Year,ECE,Lab,1,2025-08-18,Lab equipment needs upgrade
1033,4th Year,CSE,Classroom,3,2025-07-15,Classroom is okay
1034,2nd Year,ECE,Sports,4,2025-02-18,Sports facilities are good
1035,3rd Year,BBA,Transport,3,2025-07-16,Transport is average
1036,2nd Year,AIDS,Library,1,2026-02-20,Issue with book availability
1037,3rd Year,ECE,Library,4,2025-10-07,Library is clean and useful
1038,3rd Year,BBA,Sports,2,2026-01-18,Facilities need improvement
1039,4th Year,ME,Sports,2,2025-10-30,Practice timing is not managed well
1040,2nd Year,CSE,Lab,1,2025-05-31,Lab equipment needs upgrade
1041,3rd Year,CE,Sports,1,2025-06-13,Practice timing is not managed well
1042,2nd Year,ME,Hostel,5,2025-08-25,Satisfied with hostel services
1043,4th Year,AIDS,Library,2,2025-08-09,Library seating is limited
1044,2nd Year,ME,Lab,2,2026-01-10,Lab equipment needs upgrade
1045,4th Year,ME,Canteen,1,2025-09-22,Need improvement in hygiene
1046,2nd Year,ME,Library,2,2025-03-13,Library seating is limited
1047,2nd Year,ME,Lab,3,2025-02-16,Average lab experience
1048,3rd Year,ECE,Hostel,1,2026-03-24,Maintenance is poor
1049,1st Year,ME,Library,1,2025-05-19,Library seating is limited
1050,3rd Year,CSE,Sports,5,2025-11-16,Coaching support is helpful
1051,3rd Year,AIDS,Canteen,5,2026-01-22,Canteen is clean and spacious
1052,1st Year,AIDS,Lab,1,2025-03-18,Need improvement in practical support
1053,1st Year,AIDS,Transport,3,2025-02-02,Average transport experience
1054,2nd Year,AIDS,Library,4,2025-03-17,Very satisfied with library environment
1055,4th Year,CSE,Canteen,3,2025-03-23,Food is average
1056,3rd Year,CE,Transport,3,2025-09-07,Transport is average
1057,4th Year,AIDS,Transport,1,2026-03-27,Need more buses
1058,3rd Year,CE,Lab,4,2025-06-16,Lab sessions are very helpful
1059,1st Year,CSE,Sports,5,2025-06-03,Sports environment is motivating
1060,2nd Year,CE,Library,4,2025-03-10,Books are easily available
1061,1st Year,ME,Canteen,4,2025-06-20,Service is fast and helpful
1062,2nd Year,CE,Transport,5,2025-02-27,Buses are mostly on time
1063,2nd Year,CSE,Canteen,5,2025-08-17,Service is fast and helpful
1064,1st Year,ME,Lab,4,2025-10-16,Lab equipment is good
1065,1st Year,ECE,Sports,5,2025-05-04,Ground is well maintained
1066,3rd Year,CSE,Sports,3,2025-08-08,Facilities are manageable
1067,1st Year,CE,Sports,2,2025-07-19,Practice timing is not managed well
1068,3rd Year,CSE,Library,3,2026-01-15,Library is average
1069,3rd Year,CE,Hostel,5,2025-04-29,Satisfied with hostel services
1070,1st Year,CE,Library,5,2025-06-03,Library is clean and useful
1071,4th Year,ME,Canteen,1,2025-01-23,Canteen is crowded
1072,4th Year,CE,Canteen,3,2025-09-14,Average experience in canteen
1073,2nd Year,CSE,Classroom,1,2025-03-22,Projector issues happen often
